
[MeshData]

UVêî : 14190

UVî‘çÜ0 : { 0.18783, 0.0302454 }
UVî‘çÜ1 : { 0.186295, 0.0297465 }
UVî‘çÜ2 : { 0.187366, 0.0311569 }
UVî‘çÜ3 : { 0.187366, 0.0311569 }
UVî‘çÜ4 : { 0.186295, 0.0297465 }
UVî‘çÜ5 : { 0.186059, 0.0302079 }
UVî‘çÜ6 : { 0.186059, 0.0302079 }
UVî‘çÜ7 : { 0.186642, 0.0318804 }
UVî‘çÜ8 : { 0.187366, 0.0311569 }
UVî‘çÜ9 : { 0.186642, 0.0318804 }
UVî‘çÜ10 : { 0.186059, 0.0302079 }
UVî‘çÜ11 : { 0.185693, 0.0305741 }
UVî‘çÜ12 : { 0.185731, 0.0323449 }
UVî‘çÜ13 : { 0.185693, 0.0305741 }
UVî‘çÜ14 : { 0.185232, 0.0308093 }
UVî‘çÜ15 : { 0.185693, 0.0305741 }
UVî‘çÜ16 : { 0.185731, 0.0323449 }
UVî‘çÜ17 : { 0.186642, 0.0318804 }
UVî‘çÜ18 : { 0.18472, 0.0308903 }
UVî‘çÜ19 : { 0.185731, 0.0323449 }
UVî‘çÜ20 : { 0.185232, 0.0308093 }
UVî‘çÜ21 : { 0.185731, 0.0323449 }
UVî‘çÜ22 : { 0.18472, 0.0308903 }
UVî‘çÜ23 : { 0.18472, 0.0325049 }
UVî‘çÜ24 : { 0.184209, 0.0308093 }
UVî‘çÜ25 : { 0.18371, 0.0323449 }
UVî‘çÜ26 : { 0.18472, 0.0308903 }
UVî‘çÜ27 : { 0.18472, 0.0308903 }
UVî‘çÜ28 : { 0.18371, 0.0323449 }
UVî‘çÜ29 : { 0.18472, 0.0325049 }
UVî‘çÜ30 : { 0.183747, 0.0305741 }
UVî‘çÜ31 : { 0.18371, 0.0323449 }
UVî‘çÜ32 : { 0.184209, 0.0308093 }
UVî‘çÜ33 : { 0.18371, 0.0323449 }
UVî‘çÜ34 : { 0.183747, 0.0305741 }
UVî‘çÜ35 : { 0.182798, 0.0318804 }
UVî‘çÜ36 : { 0.182798, 0.0318804 }
UVî‘çÜ37 : { 0.183747, 0.0305741 }
UVî‘çÜ38 : { 0.182075, 0.0311569 }
UVî‘çÜ39 : { 0.183747, 0.0305741 }
UVî‘çÜ40 : { 0.183381, 0.0302079 }
UVî‘çÜ41 : { 0.182075, 0.0311569 }
UVî‘çÜ42 : { 0.182075, 0.0311569 }
UVî‘çÜ43 : { 0.183146, 0.0297465 }
UVî‘çÜ44 : { 0.18161, 0.0302454 }
UVî‘çÜ45 : { 0.183146, 0.0297465 }
UVî‘çÜ46 : { 0.182075, 0.0311569 }
UVî‘çÜ47 : { 0.183381, 0.0302079 }
UVî‘çÜ48 : { 0.18145, 0.0292349 }
UVî‘çÜ49 : { 0.183146, 0.0297465 }
UVî‘çÜ50 : { 0.183065, 0.0292349 }
UVî‘çÜ51 : { 0.183146, 0.0297465 }
UVî‘çÜ52 : { 0.18145, 0.0292349 }
UVî‘çÜ53 : { 0.18161, 0.0302454 }
UVî‘çÜ54 : { 0.183146, 0.0287234 }
UVî‘çÜ55 : { 0.18145, 0.0292349 }
UVî‘çÜ56 : { 0.183065, 0.0292349 }
UVî‘çÜ57 : { 0.18145, 0.0292349 }
UVî‘çÜ58 : { 0.183146, 0.0287234 }
UVî‘çÜ59 : { 0.18161, 0.0282245 }
UVî‘çÜ60 : { 0.182075, 0.0273129 }
UVî‘çÜ61 : { 0.183146, 0.0287234 }
UVî‘çÜ62 : { 0.183381, 0.028262 }
UVî‘çÜ63 : { 0.183146, 0.0287234 }
UVî‘çÜ64 : { 0.182075, 0.0273129 }
UVî‘çÜ65 : { 0.18161, 0.0282245 }
UVî‘çÜ66 : { 0.183747, 0.0278957 }
UVî‘çÜ67 : { 0.182075, 0.0273129 }
UVî‘çÜ68 : { 0.183381, 0.028262 }
